Name,Substance Type,Species,Potency,Onset,Duration,Difficulty,Avg Rating,Review Count,Photo Count,Common Effects,Body Feel,Emotional Profile
"Golden Teachers","psilocybin","Psilocybe cubensis","moderate","30-60 min","4-6 hours","beginner",4.7,89,34,"visualDistortions; introspection; euphoria","warm; light","calm; introspective; euphoric"
"Albino Penis Envy","psilocybin","Psilocybe cubensis","veryStrong","20-45 min","5-7 hours","experienced",4.8,56,22,"visualDistortions; dissolution; bodyHigh; spiritualExperience","heavy; tingly; warm","profound; euphoric"
"B+","psilocybin","Psilocybe cubensis","moderate","30-60 min","4-5 hours","beginner",4.5,72,18,"euphoria; relaxation; creativity","light; warm; relaxed","calm; euphoric; giggly"
"Liberty Caps","psilocybin","Psilocybe semilanceata","strong","20-40 min","4-6 hours","intermediate",4.6,41,12,"visualDistortions; spiritualExperience; introspection","tingly; light; energetic","profound; introspective"
"Blue Meanie","psilocybin","Panaeolus cyanescens","strong","15-30 min","4-6 hours","intermediate",4.4,38,15,"visualDistortions; euphoria; energizing","energetic; tingly; light","euphoric; giggly"
"Mazatec","psilocybin","Psilocybe cubensis","moderate","30-60 min","4-6 hours","intermediate",4.6,29,8,"spiritualExperience; introspection; emotionalRelease","warm; relaxed","profound; introspective; calm"
"Caapi + Chacruna","ayahuasca","B. caapi + P. viridis","strong","30-60 min","4-8 hours","experienced",4.9,47,6,"spiritualExperience; visualDistortions; emotionalRelease; nausea","heavy; warm","profound; loving; introspective"
"Caapi + Mimosa","ayahuasca","B. caapi + M. hostilis","strong","30-60 min","3-6 hours","experienced",4.7,23,4,"visualDistortions; introspection; spiritualExperience; nausea","heavy; tingly","introspective; profound"
"San Pedro","mescaline","Echinopsis pachanoi","moderate","1-2 hours","8-12 hours","intermediate",4.5,31,10,"euphoria; visualDistortions; spiritualExperience; bodyHigh","warm; energetic; light","euphoric; loving; calm"
"Peyote","mescaline","Lophophora williamsii","strong","1-2 hours","8-12 hours","experienced",4.8,19,3,"spiritualExperience; visualDistortions; introspection; nausea","heavy; warm; tingly","profound; introspective; loving"
"Peruvian Torch","mescaline","Echinopsis peruviana","moderate","1-2 hours","8-10 hours","intermediate",4.3,16,5,"visualDistortions; energizing; euphoria; creativity","energetic; tingly; light","euphoric; giggly"
"IV Infusion","ketamine","Ketamine HCl","strong","Immediate","45-60 min + afterglow","experienced",4.5,68,2,"dissociation; introspection; relaxation","heavy; warm; relaxed","calm; introspective; profound"
"Sublingual Troche","ketamine","Ketamine HCl","moderate","15-30 min","1-2 hours","intermediate",4.3,45,1,"relaxation; introspection; emotionalRelease","warm; relaxed","calm; introspective; loving"
"Nasal Spray (Spravato)","ketamine","Esketamine","moderate","5-15 min","1-2 hours","intermediate",4.2,52,0,"relaxation; emotionalRelease; dissociation","light; relaxed","calm; loving; introspective"
"Intramuscular","ketamine","Ketamine HCl","strong","5-10 min","1-1.5 hours","experienced",4.4,31,1,"dissociation; visualDistortions; introspection","heavy; warm; tingly","profound; introspective; calm"
